tile_name,row_start,col_start,left,bottom,right,top,image_path
candidate_0023_r5162_c1900,5162,1900,518960.0,3543270.0,524080.0,3548390.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0023_r5162_c1900.png
candidate_0024_r6080_c884,6080,884,508800.0,3534090.0,513920.0,3539210.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0024_r6080_c884.png
candidate_0025_r8846_c1253,8846,1253,512490.0,3506430.0,517610.0,3511550.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0025_r8846_c1253.png
candidate_0026_r6642_c2832,6642,2832,528280.0,3528470.0,533400.0,3533590.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0026_r6642_c2832.png
candidate_0027_r10063_c1547,10063,1547,515430.0,3494260.0,520550.0,3499380.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0027_r10063_c1547.png
candidate_0028_r4745_c1497,4745,1497,514930.0,3547440.0,520050.0,3552560.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0028_r4745_c1497.png
candidate_0029_r9520_c378,9520,378,503740.0,3499690.0,508860.0,3504810.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0029_r9520_c378.png
candidate_0030_r7300_c5282,7300,5282,552780.0,3521890.0,557900.0,3527010.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0030_r7300_c5282.png
candidate_0031_r5332_c570,5332,570,505660.0,3541570.0,510780.0,3546690.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0031_r5332_c570.png
candidate_0032_r4674_c1519,4674,1519,515150.0,3548150.0,520270.0,3553270.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0032_r4674_c1519.png
candidate_0033_r10190_c1404,10190,1404,514000.0,3492990.0,519120.0,3498110.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0033_r10190_c1404.png
candidate_0034_r10068_c5368,10068,5368,553640.0,3494210.0,558760.0,3499330.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0034_r10068_c5368.png
candidate_0035_r7677_c5447,7677,5447,554430.0,3518120.0,559550.0,3523240.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0035_r7677_c5447.png
candidate_0036_r8604_c581,8604,581,505770.0,3508850.0,510890.0,3513970.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0036_r8604_c581.png
candidate_0037_r5104_c1811,5104,1811,518070.0,3543850.0,523190.0,3548970.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0037_r5104_c1811.png
candidate_0038_r9451_c153,9451,153,501490.0,3500380.0,506610.0,3505500.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0038_r9451_c153.png
candidate_0039_r6998_c1253,6998,1253,512490.0,3524910.0,517610.0,3530030.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0039_r6998_c1253.png
candidate_0040_r7920_c5498,7920,5498,554940.0,3515690.0,560060.0,3520810.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0040_r7920_c5498.png
candidate_0041_r4886_c1714,4886,1714,517100.0,3546030.0,522220.0,3551150.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0041_r4886_c1714.png
candidate_0042_r3440_c838,3440,838,508340.0,3560490.0,513460.0,3565610.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0042_r3440_c838.png
candidate_0043_r6426_c608,6426,608,506040.0,3530630.0,511160.0,3535750.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0043_r6426_c608.png
candidate_0044_r3872_c5285,3872,5285,552810.0,3556170.0,557930.0,3561290.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0044_r3872_c5285.png
candidate_0045_r6102_c5223,6102,5223,552190.0,3533870.0,557310.0,3538990.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0045_r6102_c5223.png
candidate_0046_r4399_c3220,4399,3220,532160.0,3550900.0,537280.0,3556020.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0046_r4399_c3220.png
candidate_0047_r3997_c512,3997,512,505080.0,3554920.0,510200.0,3560040.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0047_r3997_c512.png
candidate_0048_r7066_c3580,7066,3580,535760.0,3524230.0,540880.0,3529350.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0048_r7066_c3580.png
candidate_0049_r8919_c1168,8919,1168,511640.0,3505700.0,516760.0,3510820.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0049_r8919_c1168.png
candidate_0050_r8139_c633,8139,633,506290.0,3513500.0,511410.0,3518620.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0050_r8139_c633.png
candidate_0051_r5052_c508,5052,508,505040.0,3544370.0,510160.0,3549490.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0051_r5052_c508.png
candidate_0052_r3339_c1447,3339,1447,514430.0,3561500.0,519550.0,3566620.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0052_r3339_c1447.png
candidate_0053_r8548_c327,8548,327,503230.0,3509410.0,508350.0,3514530.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0053_r8548_c327.png
candidate_0054_r5171_c49,5171,49,500450.0,3543180.0,505570.0,3548300.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0054_r5171_c49.png
candidate_0055_r4792_c1704,4792,1704,517000.0,3546970.0,522120.0,3552090.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0055_r4792_c1704.png
candidate_0056_r4013_c199,4013,199,501950.0,3554760.0,507070.0,3559880.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0056_r4013_c199.png
candidate_0057_r9868_c130,9868,130,501260.0,3496210.0,506380.0,3501330.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0057_r9868_c130.png
candidate_0058_r3752_c5447,3752,5447,554430.0,3557370.0,559550.0,3562490.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0058_r3752_c5447.png
candidate_0059_r9835_c985,9835,985,509810.0,3496540.0,514930.0,3501660.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0059_r9835_c985.png
candidate_0060_r4907_c1564,4907,1564,515600.0,3545820.0,520720.0,3550940.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0060_r4907_c1564.png
candidate_0061_r4771_c242,4771,242,502380.0,3547180.0,507500.0,3552300.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0061_r4771_c242.png
candidate_0062_r6162_c752,6162,752,507480.0,3533270.0,512600.0,3538390.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0062_r6162_c752.png
candidate_0063_r4293_c1442,4293,1442,514380.0,3551960.0,519500.0,3557080.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0063_r4293_c1442.png
candidate_0064_r4756_c1678,4756,1678,516740.0,3547330.0,521860.0,3552450.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0064_r4756_c1678.png
candidate_0065_r10164_c4193,10164,4193,541890.0,3493250.0,547010.0,3498370.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0065_r10164_c4193.png
candidate_0066_r8785_c1600,8785,1600,515960.0,3507040.0,521080.0,3512160.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0066_r8785_c1600.png
candidate_0067_r7138_c3574,7138,3574,535700.0,3523510.0,540820.0,3528630.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0067_r7138_c3574.png
candidate_0068_r6110_c421,6110,421,504170.0,3533790.0,509290.0,3538910.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0068_r6110_c421.png
candidate_0069_r6635_c3029,6635,3029,530250.0,3528540.0,535370.0,3533660.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0069_r6635_c3029.png
candidate_0070_r5977_c1755,5977,1755,517510.0,3535120.0,522630.0,3540240.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0070_r5977_c1755.png
candidate_0071_r3831_c78,3831,78,500740.0,3556580.0,505860.0,3561700.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0071_r3831_c78.png
candidate_0072_r6026_c1846,6026,1846,518420.0,3534630.0,523540.0,3539750.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0072_r6026_c1846.png
candidate_0073_r332_c5407,332,5407,554030.0,3591570.0,559150.0,3596690.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0073_r332_c5407.png
candidate_0074_r7988_c3699,7988,3699,536950.0,3515010.0,542070.0,3520130.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0074_r7988_c3699.png
candidate_0075_r5339_c552,5339,552,505480.0,3541500.0,510600.0,3546620.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0075_r5339_c552.png
candidate_0076_r6547_c2181,6547,2181,521770.0,3529420.0,526890.0,3534540.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0076_r6547_c2181.png
candidate_0077_r10069_c1245,10069,1245,512410.0,3494200.0,517530.0,3499320.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0077_r10069_c1245.png
candidate_0078_r8937_c1436,8937,1436,514320.0,3505520.0,519440.0,3510640.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0078_r8937_c1436.png
candidate_0079_r4859_c278,4859,278,502740.0,3546300.0,507860.0,3551420.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0079_r4859_c278.png
candidate_0080_r3894_c5090,3894,5090,550860.0,3555950.0,555980.0,3561070.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0080_r3894_c5090.png
candidate_0081_r3793_c11,3793,11,500070.0,3556960.0,505190.0,3562080.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0081_r3793_c11.png
candidate_0082_r7244_c5508,7244,5508,555040.0,3522450.0,560160.0,3527570.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0082_r7244_c5508.png
candidate_0083_r2198_c4201,2198,4201,541970.0,3572910.0,547090.0,3578030.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0083_r2198_c4201.png
candidate_0084_r3413_c5221,3413,5221,552170.0,3560760.0,557290.0,3565880.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0084_r3413_c5221.png
candidate_0085_r10013_c3986,10013,3986,539820.0,3494760.0,544940.0,3499880.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0085_r10013_c3986.png
candidate_0086_r10279_c1081,10279,1081,510770.0,3492100.0,515890.0,3497220.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0086_r10279_c1081.png
candidate_0087_r6044_c3755,6044,3755,537510.0,3534450.0,542630.0,3539570.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0087_r6044_c3755.png
candidate_0088_r10139_c4074,10139,4074,540700.0,3493500.0,545820.0,3498620.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0088_r10139_c4074.png
candidate_0089_r9037_c2246,9037,2246,522420.0,3504520.0,527540.0,3509640.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0089_r9037_c2246.png
candidate_0090_r10388_c550,10388,550,505460.0,3491010.0,510580.0,3496130.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0090_r10388_c550.png
candidate_0091_r10248_c48,10248,48,500440.0,3492410.0,505560.0,3497530.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0091_r10248_c48.png
candidate_0092_r4733_c57,4733,57,500530.0,3547560.0,505650.0,3552680.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0092_r4733_c57.png
candidate_0093_r6067_c3921,6067,3921,539170.0,3534220.0,544290.0,3539340.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0093_r6067_c3921.png
candidate_0094_r6069_c1710,6069,1710,517060.0,3534200.0,522180.0,3539320.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0094_r6069_c1710.png
candidate_0095_r10061_c5468,10061,5468,554640.0,3494280.0,559760.0,3499400.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0095_r10061_c5468.png
candidate_0096_r4683_c1461,4683,1461,514570.0,3548060.0,519690.0,3553180.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0096_r4683_c1461.png
candidate_0097_r6011_c1973,6011,1973,519690.0,3534780.0,524810.0,3539900.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0097_r6011_c1973.png
candidate_0098_r2080_c4240,2080,4240,542360.0,3574090.0,547480.0,3579210.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0098_r2080_c4240.png
candidate_0099_r3815_c375,3815,375,503710.0,3556740.0,508830.0,3561860.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0099_r3815_c375.png
candidate_0100_r4069_c472,4069,472,504680.0,3554200.0,509800.0,3559320.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0100_r4069_c472.png
candidate_0101_r10355_c660,10355,660,506560.0,3491340.0,511680.0,3496460.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0101_r10355_c660.png
candidate_0102_r2040_c4099,2040,4099,540950.0,3574490.0,546070.0,3579610.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0102_r2040_c4099.png
candidate_0103_r9007_c2155,9007,2155,521510.0,3504820.0,526630.0,3509940.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0103_r9007_c2155.png
candidate_0104_r329_c5321,329,5321,553170.0,3591600.0,558290.0,3596720.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0104_r329_c5321.png
candidate_0105_r10189_c699,10189,699,506950.0,3493000.0,512070.0,3498120.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0105_r10189_c699.png
candidate_0106_r6398_c532,6398,532,505280.0,3530910.0,510400.0,3536030.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0106_r6398_c532.png
candidate_0107_r7379_c3883,7379,3883,538790.0,3521100.0,543910.0,3526220.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0107_r7379_c3883.png
candidate_0108_r3866_c5295,3866,5295,552910.0,3556230.0,558030.0,3561350.0,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0108_r3866_c5295.png
