tile_name,split,row_start,col_start,tell_count,left,bottom,right,top,image_path
train_0426_r10368_c384,train,10368,384,0,503800.0,3491210.0,508920.0,3496330.0,dataset/images/train/train_0426_r10368_c384.png
train_0427_r10368_c768,train,10368,768,0,507640.0,3491210.0,512760.0,3496330.0,dataset/images/train/train_0427_r10368_c768.png
train_0428_r10368_c1152,train,10368,1152,0,511480.0,3491210.0,516600.0,3496330.0,dataset/images/train/train_0428_r10368_c1152.png
train_0429_r10368_c1536,train,10368,1536,0,515320.0,3491210.0,520440.0,3496330.0,dataset/images/train/train_0429_r10368_c1536.png
train_0430_r10368_c1920,train,10368,1920,0,519160.0,3491210.0,524280.0,3496330.0,dataset/images/train/train_0430_r10368_c1920.png
train_0434_r10368_c3840,train,10368,3840,0,538360.0,3491210.0,543480.0,3496330.0,dataset/images/train/train_0434_r10368_c3840.png
train_0435_r10368_c4224,train,10368,4224,0,542200.0,3491210.0,547320.0,3496330.0,dataset/images/train/train_0435_r10368_c4224.png
train_0438_r10468_c0,train,10468,0,0,499960.0,3490210.0,505080.0,3495330.0,dataset/images/train/train_0438_r10468_c0.png
train_0439_r10468_c384,train,10468,384,0,503800.0,3490210.0,508920.0,3495330.0,dataset/images/train/train_0439_r10468_c384.png
train_0440_r10468_c768,train,10468,768,0,507640.0,3490210.0,512760.0,3495330.0,dataset/images/train/train_0440_r10468_c768.png
train_0441_r10468_c1152,train,10468,1152,0,511480.0,3490210.0,516600.0,3495330.0,dataset/images/train/train_0441_r10468_c1152.png
train_0442_r10468_c1536,train,10468,1536,0,515320.0,3490210.0,520440.0,3495330.0,dataset/images/train/train_0442_r10468_c1536.png
train_0443_r10468_c1920,train,10468,1920,0,519160.0,3490210.0,524280.0,3495330.0,dataset/images/train/train_0443_r10468_c1920.png
train_0448_r10468_c3840,train,10468,3840,0,538360.0,3490210.0,543480.0,3495330.0,dataset/images/train/train_0448_r10468_c3840.png
train_0449_r10468_c4224,train,10468,4224,0,542200.0,3490210.0,547320.0,3495330.0,dataset/images/train/train_0449_r10468_c4224.png
