tile_name,row_start,col_start,image_path,n_predictions_conf_005,n_predictions_conf_010,n_predictions_conf_025,n_predictions_conf_050,max_confidence
candidate_0046_r4399_c3220,4399,3220,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0046_r4399_c3220.png,9,2,0,0,0.17294704914093018
candidate_0239_r43_c5248,43,5248,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0239_r43_c5248.png,1,1,0,0,0.16832967102527618
candidate_0272_r4_c5538,4,5538,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0272_r4_c5538.png,2,1,0,0,0.1661970466375351
candidate_0399_r8743_c1678,8743,1678,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0399_r8743_c1678.png,2,1,0,0,0.1659765988588333
candidate_0287_r10467_c715,10467,715,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0287_r10467_c715.png,2,1,0,0,0.1625162810087204
candidate_0205_r9542_c52,9542,52,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0205_r9542_c52.png,4,2,0,0,0.1605318784713745
candidate_0180_r3616_c3587,3616,3587,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0180_r3616_c3587.png,19,7,0,0,0.1594037562608719
candidate_0216_r5227_c1976,5227,1976,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0216_r5227_c1976.png,2,2,0,0,0.15882746875286102
candidate_0214_r10270_c998,10270,998,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0214_r10270_c998.png,4,1,0,0,0.15693145990371704
candidate_0117_r6500_c3014,6500,3014,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0117_r6500_c3014.png,5,3,0,0,0.15363222360610962
candidate_0397_r10297_c5209,10297,5209,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0397_r10297_c5209.png,2,1,0,0,0.1532495617866516
candidate_0203_r9787_c5295,9787,5295,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0203_r9787_c5295.png,3,2,0,0,0.1517191082239151
candidate_0045_r6102_c5223,6102,5223,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0045_r6102_c5223.png,9,2,0,0,0.14840081334114075
candidate_0212_r10373_c843,10373,843,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0212_r10373_c843.png,3,1,0,0,0.1482301652431488
candidate_0240_r5240_c1499,5240,1499,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0240_r5240_c1499.png,3,1,0,0,0.14744946360588074
candidate_0378_r8130_c603,8130,603,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0378_r8130_c603.png,3,1,0,0,0.14706726372241974
candidate_0332_r2631_c1079,2631,1079,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0332_r2631_c1079.png,21,3,0,0,0.1467447578907013
candidate_0334_r10434_c3698,10434,3698,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0334_r10434_c3698.png,2,1,0,0,0.13818484544754028
candidate_0225_r10443_c1402,10443,1402,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0225_r10443_c1402.png,8,3,0,0,0.13806743919849396
candidate_0001_r7333_c3712,7333,3712,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0001_r7333_c3712.png,3,2,0,0,0.13724860548973083
candidate_0172_r2660_c1013,2660,1013,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0172_r2660_c1013.png,12,1,0,0,0.13711866736412048
candidate_0147_r7759_c408,7759,408,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0147_r7759_c408.png,4,1,0,0,0.13493229448795319
candidate_0112_r7817_c606,7817,606,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0112_r7817_c606.png,1,1,0,0,0.13445346057415009
candidate_0306_r9600_c827,9600,827,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0306_r9600_c827.png,2,1,0,0,0.13284581899642944
candidate_0211_r389_c5311,389,5311,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0211_r389_c5311.png,2,1,0,0,0.13226200640201569
candidate_0032_r4674_c1519,4674,1519,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0032_r4674_c1519.png,2,1,0,0,0.13088856637477875
candidate_0158_r312_c5315,312,5315,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0158_r312_c5315.png,2,1,0,0,0.1300891488790512
candidate_0023_r5162_c1900,5162,1900,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0023_r5162_c1900.png,1,1,0,0,0.12893930077552795
candidate_0188_r10362_c974,10362,974,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0188_r10362_c974.png,4,1,0,0,0.12823444604873657
candidate_0096_r4683_c1461,4683,1461,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0096_r4683_c1461.png,3,1,0,0,0.12625029683113098
candidate_0273_r8332_c350,8332,350,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0273_r8332_c350.png,2,1,0,0,0.12440645694732666
candidate_0315_r9943_c63,9943,63,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0315_r9943_c63.png,3,1,0,0,0.12240608036518097
candidate_0003_r9402_c3019,9402,3019,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0003_r9402_c3019.png,7,1,0,0,0.11980877816677094
candidate_0085_r10013_c3986,10013,3986,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0085_r10013_c3986.png,2,1,0,0,0.1181352436542511
candidate_0101_r10355_c660,10355,660,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0101_r10355_c660.png,1,1,0,0,0.1178000420331955
candidate_0150_r3423_c939,3423,939,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0150_r3423_c939.png,7,3,0,0,0.11618835479021072
candidate_0242_r6225_c3644,6225,3644,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0242_r6225_c3644.png,3,1,0,0,0.11572406440973282
candidate_0098_r2080_c4240,2080,4240,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0098_r2080_c4240.png,3,1,0,0,0.1149948462843895
candidate_0179_r5135_c330,5135,330,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0179_r5135_c330.png,4,2,0,0,0.11423354595899582
candidate_0006_r10047_c917,10047,917,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0006_r10047_c917.png,2,1,0,0,0.11375512927770615
candidate_0075_r5339_c552,5339,552,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0075_r5339_c552.png,6,3,0,0,0.11305874586105347
candidate_0143_r4327_c144,4327,144,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0143_r4327_c144.png,3,2,0,0,0.11304038763046265
candidate_0232_r4031_c6,4031,6,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0232_r4031_c6.png,5,1,0,0,0.11184488236904144
candidate_0339_r9864_c5295,9864,5295,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0339_r9864_c5295.png,2,1,0,0,0.11144016683101654
candidate_0293_r9824_c146,9824,146,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0293_r9824_c146.png,7,1,0,0,0.11059660464525223
candidate_0166_r10225_c5524,10225,5524,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0166_r10225_c5524.png,5,1,0,0,0.11052682995796204
candidate_0365_r5053_c2018,5053,2018,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0365_r5053_c2018.png,2,1,0,0,0.11040418595075607
candidate_0127_r6146_c5,6146,5,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0127_r6146_c5.png,5,1,0,0,0.10782044380903244
candidate_0291_r5333_c203,5333,203,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0291_r5333_c203.png,3,2,0,0,0.10742006450891495
candidate_0170_r9890_c1107,9890,1107,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0170_r9890_c1107.png,2,1,0,0,0.10650622099637985
candidate_0071_r3831_c78,3831,78,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0071_r3831_c78.png,3,1,0,0,0.10587901622056961
candidate_0036_r8604_c581,8604,581,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0036_r8604_c581.png,2,1,0,0,0.10551764816045761
candidate_0148_r9890_c1133,9890,1133,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0148_r9890_c1133.png,2,1,0,0,0.10536257922649384
candidate_0237_r10457_c1470,10457,1470,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0237_r10457_c1470.png,10,1,0,0,0.10497894883155823
candidate_0371_r10258_c719,10258,719,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0371_r10258_c719.png,1,1,0,0,0.10426443815231323
candidate_0336_r8970_c5304,8970,5304,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0336_r8970_c5304.png,3,1,0,0,0.10405336320400238
candidate_0319_r4214_c112,4214,112,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0319_r4214_c112.png,2,1,0,0,0.10252843797206879
candidate_0048_r7066_c3580,7066,3580,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0048_r7066_c3580.png,4,1,0,0,0.10178402066230774
candidate_0230_r8281_c2184,8281,2184,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0230_r8281_c2184.png,4,1,0,0,0.1009906604886055
candidate_0181_r10399_c863,10399,863,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0181_r10399_c863.png,7,0,0,0,0.09996627271175385
candidate_0366_r4635_c1524,4635,1524,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0366_r4635_c1524.png,1,0,0,0,0.09955918043851852
candidate_0374_r7166_c3787,7166,3787,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0374_r7166_c3787.png,3,0,0,0,0.09937743842601776
candidate_0311_r4280_c1386,4280,1386,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0311_r4280_c1386.png,2,0,0,0,0.09778369218111038
candidate_0384_r8151_c782,8151,782,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0384_r8151_c782.png,1,0,0,0,0.09774592518806458
candidate_0363_r8232_c2175,8232,2175,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0363_r8232_c2175.png,1,0,0,0,0.09768698364496231
candidate_0269_r10463_c1830,10463,1830,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0269_r10463_c1830.png,2,0,0,0,0.09660766273736954
candidate_0129_r10212_c1615,10212,1615,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0129_r10212_c1615.png,4,0,0,0,0.09629491716623306
candidate_0186_r4231_c127,4231,127,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0186_r4231_c127.png,2,0,0,0,0.09607324004173279
candidate_0309_r10391_c365,10391,365,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0309_r10391_c365.png,3,0,0,0,0.09550216794013977
candidate_0136_r5331_c126,5331,126,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0136_r5331_c126.png,1,0,0,0,0.09549656510353088
candidate_0120_r7856_c323,7856,323,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0120_r7856_c323.png,1,0,0,0,0.09496095031499863
candidate_0176_r3949_c165,3949,165,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0176_r3949_c165.png,2,0,0,0,0.09485980123281479
candidate_0029_r9520_c378,9520,378,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0029_r9520_c378.png,2,0,0,0,0.09478703141212463
candidate_0385_r5193_c1658,5193,1658,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0385_r5193_c1658.png,3,0,0,0,0.09464959055185318
candidate_0266_r10423_c1804,10423,1804,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0266_r10423_c1804.png,4,0,0,0,0.0944020226597786
candidate_0229_r2968_c4629,2968,4629,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0229_r2968_c4629.png,1,0,0,0,0.09324680268764496
candidate_0164_r293_c5242,293,5242,/home3/gdyx28/Research Project/Research Project/iraq_tells_gis/Models/model_07_nd11_4_slope_tpi_hardneg_yolo/background_mining_pool/images/candidate_0164_r293_c5242.png,1,0,0,0,0.09287895262241364
